hanzi,pinyin,definition 
汴,biàn,name of a river in Henan; Henan
宸,chén,imperial; imperial palace
芍,sháo,peony; water chestnuts
捱,ái,"put off, procrastinate; endure"
摈,bìn,"exclude, expel, reject; usher"
摺,zhé,"fold, bend; twisted, curved"
簦,dēng,"large umbrella with a long handle, used for street stalls"
箔,bó,reed screen; frame for growing silkworms
咝,sī,hiss; call to come; syllable
孀,shuāng,widow
怏,yàng,"discontented, dispirited, sad"
谝,piǎn,"brag, boast; quibble"
砧,zhēn,anvil; flat stone; exe
馕,náng,bread (persian naan)
耄,mào,"elderly person; very old, senile"
罂,yīng,long necked jar or bottle
漕,cáo,transport by water; canal transportation
沣,fēng,river in Shanxi province
栾,luán,name of tree; a part of cornice
榘,jǔ,
烷,wán,alkane
榷,què,"footbridge; toll, levy; monopoly"
俑,yǒng,wooden figure buried with dead
沱,tuó,"rivers, streams, waterways; flow"
缜,zhěn,"detailed, fine; closely woven"
鹫,jiù,"condor, vulture"
蛳,sī,kind of snail with spiral shell
剽,piāo,"rob, plunder; slice off; fast"
衢,qú,"highway; thoroughfare, intersection"
泗,sì,mucous; nasal flow; sniffle; river in Shandong
臊,sāo,"rank; rancid; frowzy, fetid; bashful"
瘴,zhàng,malaria pestilential vapors
酚,fēn,carbolic acid; phenol
纾,shū,"loosen, relax, relieve; extricate"
晁,cháo,"morning, dawn; surname"
孛,bèi,comet
炀,yáng,roast; scorch; melt; flame
叁,sān,
憩,qì,"rest, take rest"
掬,jū,to grasp or hold with both hands
椤,luó,tree
啮,niè,"bite, gnaw"
畿,jī,imperial domain; area near capital
掸,dǎn,to dust; a duster
镣,liào,fetters
骁,xiāo,"excellent horse; brave, valiant"
椽,chuán,"beams, rafters, supports"
侗,dòng,"big; ignorant; rude, rustic"
滦,luán,river and county in Hebei province
荩,jìn,a kind of weed; faithfulness
泓,hóng,"clear, deep pool of water"
蚱,zhà,grasshopper; (edible) locust; cicada
癜,diàn,erythema
酯,zhǐ,ester
體,tǐ,"body; group, class, body, unit"
癸,guǐ,10th heavenly stem
蚜,yá,"plant louse, aphids"
扪,mén,"stoke, pat, feel by hand, grope"
庑,wǔ,"corridor, hallway; luxuriant"
歆,xīn,"like, admire; willingly, gladly; to quicken"
蝮,fù,"venomous snake, viper"
蹶,jué,"stumble, fall down; trample"
弈,yì,Chinese chess
庋,guǐ,a cupboard or pantry to store
喟,kuì,"heave sigh, sigh"
滂,pāng,torrential; voluminous
啕,táo,wail
蛎,lì,oyster
獭,tǎ,otter
槁,gǎo,"wither; withered, rotten, dead"
翊,yì,"flying; assist, help; respect"
龊,chuò,"narrow, small; dirty"
邺,yè,
莘,shēn,long; numerous; a marsh plant whose root is used for medicine
燮,xiè,"harmonize, blend; adjust"
剁,duò,"chop by pounding, mince, hash"
觐,jìn,have imperial audience
铛,dāng,frying pan; warming vessel
谗,chán,"slander, defame, misrepresent"
镍,niè,nickel
臃,yōng,swell up; swelling; fat
墒,shāng,wet tilth
晔,yè,bright; radiant; thriving
燔,fán,to roast; to burn
嘭,pēng,"syllable; (Cant.) to chase, drive away"
涿,zhuō,"drip, dribble, trickle"
醯,xī,vinegar; pickle; acid
箩,luó,bamboo basket
鄱,pó,county and lake in Jiangxi
睨,nì,"look askance at, glare at; squint"
诤,zhēng,to expostulate; to remonstrate
坳,ào,"a hollow in the ground, a cavity, depression; undulating, depressed"
鹭,lù,"heron, egret; Ardea species (various)"
砷,shēn,arsenic
唏,xī,weep or sob; grieve
伲,nì,we (Shanghai dialect)
猬,wèi,"vulgar; wanton; low; many; varied; a hedgehog, porcupine"
琥,hǔ,jewel in shape of tiger; amber
殁,mò,die; death; dead
蚩,chī,"worm; ignorant, rustic; laugh"
泾,jīng,name of a river
缥,piāo,light blue silk; dim; misty
殓,liàn,dress corpse for burial
鳅,qiū,loach
氰,qíng,cyanogen; ethane dinitrile
诋,dǐ,"slander, comdemn, reproach"
刍,chú,"mow, cut grass; hay, fodder"
芷,zhǐ,"angelica, type of iris"
嶙,lín,precipitous
逅,hòu,meet unexpectedly
舫,fǎng,"fancy boat, yacht"
呓,yì,
唰,shuā,"swish, rustle"
茁,zhuó,"to sprout, flourish; sprouts appearing above-ground; vigorous"
馑,jǐn,time of famine or crop failure
妫,guī,family name
骧,xiāng,gallop about with head uplifted
苷,gān,licorice
擢,zhuó,"pull up, draw up; select"
峋,xún,ranges of hills stretching on beyond another irregular peaks
袂,mèi,sleeves
懑,mèn,"be sick at heart, sorrowful, sad"
蓑,suō,"rain coat made of straw, coir, etc."
與,yǔ,"and; with; to; for; give, grant"
涞,lái,river in Hebei province; creek
祉,zhǐ,"happiness, blessings, good luck"
踹,chuài,"trample, tread on, kick; to crush"
掇,duō,"collect, gather up, pick up"
沏,qī,infuse
诳,kuáng,"deceive, lie, delude, cheat"
噫,yī,belch; alas
饽,bō,ferrule
饪,rèn,cooked food; cook until well done
绺,liǔ,"skein; tuft, lock; wrinkle"
谘,zī,"consult, confer; communicate in"
飧,sūn,"evening meal, supper; cooked food"
迳,jìng,"pass by, approach; direct"
铡,zhá,sickle for cutting grass or hay
枞,cōng,fir tree
熨,yùn,"iron, press"
鋈,wù,silver plating
荭,hóng,herb
赊,shē,"buy and sell on credit, distant"
俦,chóu,"companion, mate, colleague"
戛,jiá,lance; tap or strike lightly
湎,miǎn,"flushed with drink, drunk"
幺,yāo,"one; tiny, small"
凇,sōng,dewdrop; icicle
芪,qí,celery
觯,zhì,wine goblet made from horn
龌,wò,"narrow, small; dirty"
挞,tà,"flog, whip; chastise"
嬴,yíng,to win; to have a surplus; surname
苻,fú,kind of herb; type of grass
嘁,qī,to be grieved; ashamed; used to imitate sounds
鞯,jiān,saddle blanket
肽,tài,a chemical compound
恸,tòng,"sadness, grief; mourn; be moved"
迨,dài,"until, when; seize, arrest"
钰,yù,rare treasure
儆,jǐng,warn; warning
觎,yú,"desire strongly, covet, long for"
讫,qì,"finish; conclude, stop; exhaust"
滓,zǐ,"sediment, lees, dregs"
僮,tóng,"page, boy servant"
媾,gòu,marry; be on friendly terms with
龇,zī,to show the teeth; crooked teeth
胯,kuà,pelvis; groin; thighs
涮,shuàn,rinse; cook or boil in juice
绾,wǎn,"to string together, to bind up"
杈,chā,fork of a tree; a pitchfork
赳,jiū,"grand, valiant"
斛,hú,dry measure equal to some five or ten dou (舒)
觥,gōng,a cup made of horn obstinate
疸,dǎn,jaundice; disorders of stomach
卞,biàn,"to be impatient, in a hurry; excitable"
愠,yùn,angry
拮,jié,"laboring hard, occupied; pursue"
庠,xiáng,village school; teach
烨,yè,"bright, glorious, splendid, flame"
龢,hé,"in harmony; calm, peaceful"
菠,bō,spinach and similar greens
窈,yǎo,"obscure, secluded; refined"
罄,qìng,"exhaust, run out, use up; empty"
囤,dùn,"grain basket, bin for grain"
弁,biàn,conical cap worn during Zhou dynasty
奘,zàng,"large, powerful, stout, thick"
咣,guāng,the sound of large door closing
缫,sāo,"draw, reel"
腴,yú,"fat; fertile, rich; plump, soft"
缈,miǎo,"indistinct, dim; minute; distant"
喵,miāo,the mew of the cat
潢,huáng,"expanse of water, lake, pond"
遛,liú,"take walk, stroll"
柚,yòu,"pomelo, grapefruit"
郏,jiá,county in Henan province; surname
荻,dí,"reed, Miscanthus saccariflorus"
藜,lí,"Chenopodium album, pigweed"
琨,kūn,"beautiful jade, precious stones"
镳,biāo,"bit, bridle; ride"
雉,zhì,pheasant; crenellated wall
橐,tuó,"a sack, a bag opening at both ends"
陽,yáng,
骈,pián,"team of horses; associate, join"
蛉,líng,"dragonfly, libellulidae"
艮,gěn,seventh of eight diagrams
搽,chá,"smear; rub, wipe; anoint"
濡,rú,"immerse, moisten; wet, damp"
寮,liáo,"shanty, hut, shack"
柩,jiù,coffin which contains corpse
佗,tuó,"other, he; surname; a load"
啷,lāng,a clanging or rattling sound
诜,shēn,"inquire, question; numerous"
視,shì,"look at, inspect, observe, see"
偻,lóu,humpback; surname
夯,hāng,"heavy load, burden; lift up"
闱,wéi,"gate, door; living quarters"
谖,xuān,"forget; lie, cheat, deceive"
夥,huǒ,companion; partner; assistant
枸,gǒu,kind of aspen found in Sichuan
膑,bìn,the kneecap
虻,méng,"horsefly, gadfly"
筠,yún,bamboo skin; bamboo
埽,sào,"broom; to sweep, clear away"
笞,chī,bamboo rod used for beatings
臾,yú,"moment, instant, short while"
婀,ē,"be beautiful, be graceful"
珞,luò,kind of necklace
粑,bā,tsamba (food in Tibet)
怵,chù,"fear, be afraid; shy, timid"
绻,quǎn,"affectionate, solicitous"
殒,yǔn,"die, perish; vanish; fall"
觊,jì,"covet, long for, desire"
崂,láo,"Laoshan, mountain in Shandong"
颧,quán,cheek bones
嗑,kē,eat seeds; reproach; loquacious
榛,zhēn,"hazelnut; thicket, underbrush"
昱,yù,"bright light, sunlight; dazzling"
蜴,yì,lizard
鳝,shàn,eel
噙,qín,hold in mouth; bite
淼,miǎo,a wide expanse of water
矾,fán,alum
硼,péng,"borax, boron"
囿,yòu,"pen up; limit, constrain"
泅,qiú,"swim, float, wade"
邂,xiè,unexpected meeting; encounter by
钜,jù,"steel, iron; great"
蠹,dù,moth; insects which eat into clot
垩,è,"holy, sacred, sage; simplification of 堊 chalk; daub with chalk"
乩,jī,to divine
嗝,gé,"cackling of fowls to gag, to vomit"
淦,gàn,river in Jiangxi province; water leaking into a boat
樽,zūn,"goblet; jar, jug; lush"
诮,qiào,"criticize, scold, blame, ridicule"
揆,kuí,"prime minister; to guess, estimate"
啐,cuì,"to taste, to sip; to spit; the sound of sipping; to surprise"
淅,xī,water used wash rice; to wash ric
榉,jǔ,type of elm
馗,kuí,"cheekbone; path, road; intersection"
辔,pèi,"bridle of horse, reins"
暹,xiān,"rise; advance, go forward"
骛,wù,"gallop; rush about; pursue, run"
鱿,yóu,cuttlefish
苫,shān,rush or straw matting
犷,guǎng,"fierce, rude, uncivilized"
獠,liáo,to hunt at night by torches
詈,lì,"scold, abuse verbally, curse"
竦,sǒng,"revere, respect, be in awe of"
篙,gāo,pole used punt boat
诨,hùn,"jokes, obsene jests; joke"
铰,jiǎo,"hinge; shears, scissors"
馄,hún,"dumpling soup, wonton"
蜚,fēi,cockroach
峒,dòng,mountain in Gansu province
滢,yíng,"clear, pure water; lucid; glossy"
琬,wǎn,the virtue of a gentleman; jade
靓,jìng,make up face; ornament; quiet
狻,suān,a fabulous beast
璨,càn,gems; luster of gems; lustrous
犟,jiàng,stubborn
鸬,lú,cormorant
螨,mǎn,insect
芩,qín,salt marsh plant
嘹,liáo,used describe clarity of voice; resonant
锟,kūn,ancient treasured sword
蜇,zhē,jellyfish
洹,huán,river in Henan province
栉,zhì,"comb; comb out; weed out, elimininate"
俪,lì,"spouse, couple, pair"
钍,tǔ,thorium
锨,xiān,shovel
瑁,mào,fine piece of jade
壹,yī,number one
痿,wěi,paralysis; impotence
竑,hóng,be vast and endless; broad
粕,pò,"lees, dregs, sediments left after distilling liquor"
犄,jī,animal horns
瘙,sào,itch
饯,jiàn,"farewell party; see off, send off"
抟,tuán,roll around with hand; model
衲,nà,"mend, sew, patch; line; quilt"
踮,diǎn,tip toe
龅,bāo,teeth protrude
愎,bì,"obstinate, stubborn, headstrong"
馥,fù,"fragrance, scent, aroma"
梏,gù,"handcuffs, manacles, fetters"
讣,fù,obituary; give notice of death
邝,kuàng,surname
艿,nǎi,
趺,fū,sit cross-legged; back of the foo
鲟,xún,sturgeon
剜,wān,"cut, cut out, pick out, scoop out"
绉,zhòu,"crepe, crape, wrinkles, creases"
罅,xià,"crack, fissure, split"
笥,sì,"a hamper, wicker basket"
衩,chǎ,the open seam of a garment which allows freedom of movement
姣,jiāo,"beautiful, handsome, pretty"
斫,zhuó,"cut, chop, lop off"
鹗,è,"osprey, fishhawk"
腎,shèn,"kidneys; testes, gizzard"
爻,yáo,diagrams for divination
猕,mí,macacus monkey
晗,hán,pre-dawn
铩,shā,moult
窕,tiǎo,"slender; quiet and modest, charming"
仨,sā,(coll.) three (cannot be followed by a measure word)
搡,sǎng,to push over or push back
崴,wǎi,"high, lofty; precipitous"
酢,cù,
檄,xí,call arms; urgency
佞,nìng,flattery; glib
孑,jié,"remaining, left-over; lonely"
璀,cuǐ,lustre of gems; glitter; shine
岷,mín,"min mountain, min river"
舛,chuǎn,"oppose, deviate, be contrary to"
邕,yōng,former or literary name for Nanning (in Guangxi)
闿,kǎi,open; peaceful
铂,bó,platinum; thin sheet of metal
霁,jì,to clear up after rain; to cease be angry
犒,kào,entertain victorious soldiers
馏,liú,"distill, distillation"
阈,yù,"threshold; separated, confined"
麋,mí,elk; surname
麒,qí,legendary auspicious animal
苁,cōng,medicinal herb
摁,èn,to press with the hand
涔,cén,river in Shaanxi; murky torrent
宥,yòu,"forgive, pardon, indulge"
妍,yán,"beautiful, handsome; seductive"
铤,dìng,"ingots, bars of metal; hurry"
锷,è,"high, lofty; edge of knife"
嗲,diǎ,
恽,yùn,"devise, plan, deliberate; consult"
麂,jǐ,species of deer
赝,yàn,false; counterfeit; bogus; sham
胛,jiǎ,"the shoulder, shoulder blade"
哂,shěn,"smile, laugh at, sneer at; (Cant.) a final particle indicating doing something to the full extent possible"
撷,xié,"pick up, gather up; hold in lap"
呶,náo,talkative; clamour; hubbub
噘,juē,pouting
懔,lǐn,"be afraid of, to be in awe of"
栎,lì,chestnut-leaved oak; oak
桎,zhì,"fetters, shackles, handcuffs"
霰,sǎn,"hail, sleet"
飨,xiǎng,host banquet; banquet
揄,yú,"lift, raise; praise; hang; flap"
噔,dēng,syllable; (Cant.) for (a recipient of pity or sympathy)
娣,dì,"younger sister, sister-in-law"
薏,yì,
忝,tiǎn,disgraced; ashamed; self-deprecating
咤,zhà,"scold, bellow, shout at, roar"
嗵,tōng,used for sound
迤,yí,wind; walk out of straight path
贲,bēn,forge ahead; energetic; surname
胪,lú,arrange in order; display
鍪,móu,an iron pan; a metal cap
泸,lú,river in Jiangxi province
蔫,niān,"withered, faded, decayed; calm"
刈,yì,"cut off, reap, mow; sickle"
僖,xī,"joy, gladness, delight; surname"
咿,yī,descriptive of creaking; laugh
鹌,ān,quail; Coturnix coturnix
嗪,qín,character used in translation
茏,lóng,tall grass; water-weeds
茯,fú,china root; medicinal fungus
岫,xiù,"mountain peak; cave, cavern"
嵘,róng,"high, steep; lofty, towering"
轱,gū,wheel; to turn; to revolve
怼,duì,"hate, abhor; hatred, resentment"
铨,quán,"weigh, measure; select officials"
昕,xīn,dawn; early morning; day
郢,yǐng,
咩,miē,the bleating of sheep; (Cant.) an interrogative particle
馊,sōu,"spoiled, rotten, stale, rancid"
髡,kūn,to shear tree; ancient punishment
澧,lǐ,river in northern Hunan province
苣,jù,kind of lettuce
濯,zhuó,"wash out, rinse; cleanse"
盥,guàn,wash
囡,nān,
砺,lì,whetstone; sharpen
佘,shé,surname
谶,chèn,"prophecy, hint, omen"
弑,shì,
楂,zhā,"a raft, to hew, to fell trees"
翦,jiǎn,"scissors; cut, clip; annhilate"
怩,ní,"shy, timid, bashful; look ashamed"
蠼,qú,
霏,fēi,falling of snow and rain
楹,yíng,"column, pillar; numerary adjunct"
讴,ōu,sing; songs
锲,qiè,"sickle; cut, carve, engrave"
慵,yōng,"indolent, easy-going, lazy"
胝,zhī,"callous, corn"
砭,biān,stone probe; pierce; counsel
潍,wéi,county in Shandong province
杵,chǔ,pestle; baton used beat clothes
樾,yuè,the shade of trees
帼,guó,
碣,jié,stone tablet
诌,zhōu,"play with words, quip; talk nonse"
徕,lái,"induce, encourage to come"
胴,dòng,the large intestine; the body
钴,gǔ,cobalt; household iron
裟,shā,a cassock or robe of a monk
啶,dìng,phonetic used in pyridine and pyrimidine
铣,xǐ,mill
铱,yī,iridium
楫,jí,"oar, paddle"
赭,zhě,reddish brown; hematite; ochre
碛,qì,sand and gravel
酊,dīng,"drunk, intoxicated"
魑,chī,a mountain demon resembling a tiger
醛,quán,aldehyde
剐,guǎ,"cut, cut flesh from bones"
畦,qí,sections in vegetable farm
陂,bēi,"dam, embankment; reservoir"
闶,kāng,door
阄,jiū,lots (to be drawn); draw lots
祚,zuò,"throne; bless; blessing, happiness"
鹘,gǔ,a kind of pigeon; treron permagna
泱,yāng,"great, expansive; agitated"
趄,jū,"weak, lame"
骅,huá,an excellent horse
陲,chuí,"frontier, border"
郧,yún,county in Hubei province
倜,tì,raise high; unrestrained
呤,lìng,purine
燧,suì,"flintstone; beacon, signal fire; torch"
铉,xuàn,device for carrying a tripod
粲,càn,"polish; bright, radiant; smiling"
骶,dǐ,coccyx
峁,mǎo,yellow dirt mount
忸,niǔ,"blush, be bashful, be ashamed"
渌,lù,strain
骞,qiān,"raise, hold high; fly, soar"
髭,zī,mustache
戡,kān,"subjugate, subdue, quell; kill"
钨,wū,"tungsten, wolfram"
谲,jué,"cunning, crafty, sly, wily"
苋,xiàn,amaranth
锃,zèng,polish
蜊,lí,clam
幄,wò,tent; mosquito net
闼,tà,door; gate
戕,qiāng,"kill, slay; wound, injure, hurt"
骊,lí,a pure black horse; a pair of horses
虢,guó,name of ancient feudal State in Shenxi and Hunan
烩,huì,"ragout, cook, braise"
傥,tǎng,"if, supposing, in case"
妲,dá,concubine of last ruler of the Shang dynasty
绌,chù,"sew, stitch; insufficient"
桠,yā,the forking branch of a tree
袈,jiā,Buddhist cassock
鎗,qiāng,"rifle, small arms, hand gun"
薮,sǒu,"marsh, swamp; wild country"
揿,qìn,press
杲,gǎo,bright sun; brilliant; high
肓,huāng,region between heart and diaphragm
厝,cuò,cut or engrave; a grave or tombstone
莅,lì,"attend, be present; arrive at"
氤,yīn,"hanging fog, misty"
缙,jìn,red silk
衮,gǔn,ceremonial dress worn by the emperor
诟,gòu,"abuse, scold, berate, insult"
旖,yǐ,romantic; tender; charming
硒,xī,selenium
唁,yàn,express condolence
嬗,shàn,succession to the throne
硎,xíng,whetstone
裱,biǎo,to mount maps or scrolls to paste
颦,pín,"frown, knit brows; with knitted"
質,zhì,"matter, material, substance"
靥,yè,dimples
纥,gē,"inferior silk; tassel, fringe"
煨,wēi,"to stew, simmer"
礴,bó,"fill, extend"
鏖,áo,"to fight to the end, engage in a fierce battle"
蝈,guō,small green frog; cicada
笏,hù,tablet held by someone having authority
羿,yì,legendary archer
鼐,nài,incense tripod
湟,huáng,river in qinghai province
甑,zèng,"boiler for steaming rice, pot"
炜,wěi,brilliant red; glowing
煲,bāo,to heat; to boil a saucepan
锉,cuò,
笕,jiǎn,bamboo water pipe
喑,yīn,to be dumb; the sobbing of infants
嶂,zhàng,cliff; mountain barrier
浔,xún,steep bank by stream; jiujiang
弭,mǐ,"stop, desist, end, quell"
妪,yù,"old woman, hag"
锂,lǐ,lithium
苡,yǐ,barley
孳,zī,breed in large numbers
颏,kē,chin
醴,lǐ,sweet wine; sweet spring
間,jiān,"interval, space; place, between"
渚,zhǔ,"small sand bank, islet"
轭,è,"yoke, collar"
鹬,yù,"snipe, kingfisher"
蚝,háo,hairy and poisonous caterpillars
黃,huáng,yellow; surname
膘,biāo,fat; rump
邛,qióng,in distress; a mound
痨,láo,consumption; tuberculosis
褡,dā,"girdle; loincloth; pouch, bag"
耦,ǒu,plow side by side; team of two
覃,tán,"reach to, spread to; extensive"
虛,xū,"false, worthless; empty, hollow"
馔,zhuàn,"to feed, support, provide for; food"
篾,miè,bamboo splints or slats
兖,yǎn,establish; one of nine empire divisions
阋,xì,"feud, fight, quarrel"
遨,áo,"ramble, roam; travel for pleasure"
爰,yuán,"lead on to; therefore, then"
痂,jiā,scab
艄,shāo,stern of a vessel
耨,nòu,"hoe, rake; weed"
沤,ōu,"soak, steep; sodden or soaked"
邋,lā,rags
焓,hán,"(Cant.) onomatopoetic, the sound of a fiercely-burning fire"
秣,mò,"fodder, horse feed; feed horse"
昶,chǎng,a long day. bright. extended. clear
種,zhǒng,seed; race; offspring; to plant
變,biàn,"change, transform, alter; rebel"
窣,sū,"to rush out of a den; rustling, whispering"
绦,tāo,"silk cord, ribbon"
俎,zǔ,chopping board or block; painted
榫,sǔn,mortise and tenon; fit into
蟪,huì,a kind of cicada
稗,bài,"darnels, weeds, tares small"
謇,jiǎn,stutter; speak out boldly
氩,yà,argonium
類,lèi,"class, group, kind, category"
锴,kǎi,high quality iron
龉,yǔ,uneven teeth; to disagree
烃,tīng,hydrocarbon
俣,yǔ,big
嬷,mā,mother
肱,gōng,forearm
鸢,yuān,kite; Milvus species (various)
笫,zǐ,"bed boards, sleeping mat"
痤,cuó,a swelling of the lymph nodes
陰,yīn,
菏,hé,river in Shandong province
莆,pú,a kind of legendary tree
芨,jī,"name of a plant, the roots are used for various purposes"
阕,què,"close, shut; watch tower"
砣,tuó,"a stone roller; a heavy stone, a weight, a plummet"
碜,chěn,gritty
鼹,yǎn,a kind of insectivorous rodent
長,zhǎng,long; length; excel in; leader
猷,yóu,"plan, scheme; plan, plot; way"
竽,yú,ancient woodwind instrument
舸,gě,"large boat, barge"
诓,kuāng,"cheat, swindle, lie"
錾,zàn,"engraving tool, chisel"
淬,cuì,"temper; dye; soak; change, alter"
隗,kuí,high; lofty; surname
悌,tì,"brotherly, respectful"
姘,pīn,illicit sexual relations
槭,qī,maple
邈,miǎo,"far, distant, remote; slight"
婕,jié,handsome
歙,shè,
稹,zhěn,
蹴,cù,kick; tread on; leap; solemn
砒,pī,arsenic
痈,yōng,"carbuncle, sore, ulcer, abscess"
镏,liú,distil; lutetium; surname
羯,jié,"wether, castrated ram; deer skin"
豕,shǐ,"a pig, boar; KangXi radical 152"
鲂,fáng,bream
蓖,bì,"castor-oil plant, Ricinus commumis"
匦,guǐ,"small box; chest, casket"
笤,tiáo,"a broom, a besom"
峥,zhēng,"high, lofty, noble; steep, perilous"
徭,yáo,"conscript labor, compulsory labor"
浃,jiā,"saturate, drench; damp, wet"
烊,yáng,to smelt; to melt
補,bǔ,"mend, patch, fix, repair, restore"
窸,xī,"faint sound, whisper"
酆,fēng,name of Zhou period state
缢,yì,"hang, strangle"
褓,bǎo,swaddling cloth; infancy
蚨,fú,"a kind of water-beetle cash, then dollars and money generally"
翳,yì,"shade, screen; to hide, screen"
趔,liè,not progressing; to be checked
炔,guì,acetylene
誊,téng,"copy, transcribe"
赜,zé,"abstruse, deep, profound"
仃,dīng,"lonely, solitary"
勖,xù,"enjoin, advise, preach to"
葺,qì,"thatch; fix, repair; pile up"
蚴,yòu,larva
泷,lóng,raining; wet; soaked; a river in Guangdong
蛴,qí,"maggots, grubs"
結,jié,"knot, tie; join, connect"
媸,chī,an ugly woman
俳,pái,actor; vaudeville show; insincere
诖,guà,"error, mistake; deceive, mislead"
茑,niǎo,the convovulvus; parasitic plants such as mistletoe; Ribes ambiguum
逡,qūn,"retreat, withdraw, fall back"
孱,càn,"weak, unfit, frail, feeble"
砦,zhài,"stockade, fort, military outpost; brothel"
跸,bì,"clear way, make room for; emp"
祜,hù,"blessing, happiness, prosperity"
伉,kàng,"compare, match; pair; spouse"
溴,xiù,bromine
屐,jī,"wooden shoes, clogs"
飚,biāo,whirlwind
蛞,kuò,"snail; slug, mole cricket"
鏡,jìng,mirror; lens; glass; glasses
掮,qián,to bear on the shoulders
崆,kōng,Kongtong mountain
庾,yǔ,granary; storehouse
橛,jué,"a post, a stake; an axle"
矸,gān,a rock or cliff
鸨,bǎo,bustard; procuress; Otis species (various)
圻,qí,"border, boundary"
缂,kè,the woof of a woven item
蒯,kuǎi,"a rush, of which various things are made"
诹,zōu,"consult, confer; select, choose"
啭,zhuàn,"sing, chirp, warble, twitter"
饧,táng,"sugar, syrup; malt sugar; sticky"
镉,gé,cadmium
鸪,gū,species of Taiwan pigeon
蛩,qióng,"cricket, locust; anxious"
蠖,huò,inch-worm; looper caterpiller
說,shuō,"speak, say, talk; scold, upbraid"
劭,shào,encourage; to excel; excellent
哐,kuāng,syllable
崧,sōng,"high mountain; lofty, eminent"
杼,zhù,shuttle of loom; narrow; long-headed; a scrub oak; thin
棂,líng,carved or patterned window sills
螫,shì,poison; sting; poisonous insect
龃,jǔ,irregular teeth; discord
饔,yōng,breakfast; eat prepared food
遑,huáng,"leisure, leisurely; hurry about"
颢,hào,"luminous; white, hoary"
腱,jiàn,tendons
襁,qiǎng,swaddling clothes
忾,kài,"anger, wrath, hatred, enmity"
濠,háo,"moat, trench, ditch"
牝,pìn,female of species; deep gorge
蛄,gū,mole cricket
鲆,píng,sole
嗄,á,hoarse of voice
灏,hào,"vast, large, grand, expansive"
疥,jiè,"scabies, itch"
苜,mù,clover
荞,qiáo,buckwheat
嘣,bēng,syllable
夤,yín,distant place; remote; deep
砝,fá,balance weights
颞,niè,the temporal bone
開,kāi,"open; initiate, begin, start"
忤,wǔ,"insubordinate, stubborn; wrong"
遢,tà,"careless, negligent, slipshod"
旎,nǐ,fluttering of flag; romantic
瘛,chì,
魉,liǎng,a kind of monster
辇,niǎn,hand-cart; transport by carriage
見,jiàn,"see, observe, behold; perceive"
瓤,ráng,"flesh, core, pulp, pith"
荥,xíng,a county in Henan; the rising and dashing of waves
涫,guàn,
娌,lǐ,
氚,chuān,tritium
臁,lián,calf of the leg
毂,gǔ,hub of wheel
碇,dìng,anchor
毖,bì,"guard against, take care; caution"
壅,yōng,to obstruct
吡,bǐ,blame
缛,rù,"decorative, adorned, elegant"
玮,wěi,"type of jade; rare, valuable"
羟,qiǎng,hydroxide
還,hái,"still, yet, also, besides"
珈,jiā,
颀,qí,tall and slim
虼,gè,a flea; species of beetle
祇,qí,"the spirit of the earth; (used for 只) only, merely, but"
佝,gōu,rickets
翕,xī,agree
遴,lín,"select, choose; surname"
珏,jué,two pieces of jade joined together
郛,fú,outer walls of city; suburbs
較,jiào,"compare; comparatively, more"
驗,yàn,"test, examine, inspect; verify"
玖,jiǔ,black-colored jade
蹇,jiǎn,"lame, crippled; unlucky"
逋,bū,"flee, run away, leave debt unsettled"
氅,chǎng,overcoat; down feathers
粽,zòng,dumpling made of glutinous rice
诂,gǔ,"exegesis, explanation; explain"
岢,kě,
聒,guā,"clamor, din, hubbub"
髁,kē,"thigh bone, hipbone; kneecap"
黍,shǔ,glutinous millet; KangXi radical number 202
芾,fèi,flower; small; little; lush
淝,féi,name of an affluent of the Poyang Lake
鲎,hòu,king crab
鞣,róu,"tan, soften"
髋,kuān,hipbone; hip
闳,hóng,"gate, barrier; wide, vast, expand"
潆,yíng,tiny stream; swirl around
汨,mì,Mi(luo) river in Hunan province where Qu Yuan drowned himself; to sink; used (erroneously) for 汩
胍,guā,
阏,è,"block, obstruct, stop up"
钤,qián,"lock, latch; stamp, seal"
鹜,wù,duck
鬈,quán,fine growth of hair curly hair
铵,ǎn,ammonium
戬,jiǎn,"exterminate, destroy; blessing"
點,diǎn,"dot, speck, spot; point, degree"
崮,gù,"a mesa, hill with flat top and steep sides"
枰,píng,smooth board; chessboard; chess
樯,qiáng,"mast, yard-arm, boom"
脍,kuài,minced meat or fish
畲,shē,to cultivate land by first setting fire to it
衾,qīn,"coverlet, quilt"
蹼,pǔ,webbed feet of waterfowl
題,tí,"forehead; title, headline; theme"
劬,qú,"be diligent, toil, endeavor"
咭,jī,
囫,hú,"entire, whole"
洱,ěr,a lake in Yunnan
刎,wěn,"behead, cut throat"
芏,dù,
琊,yá,a place in eastern Shandong
碚,bèi,suburb
鳕,xuě,codfish
谪,zhé,"charge, blame; disgrace; demote"
芎,qiōng,a kind of herb
恂,xún,"careful, sincere, honest; trust"
槿,jǐn,hibiscus
鲢,lián,"silver carp, hypophthalmiathys"
鲧,gǔn,giant fish; father of emperor
嘧,mì,pyrimidine
绀,gàn,dark blue or reddish color
郦,lì,
噱,jué,"laugh heartily, laugh aloud"
浠,xī,
潸,shān,weep; tears flowing
跏,jiā,sit cross-legged; squat
鲶,nián,sheat
矍,jué,look about in fright or alarm
